questions,labels
Hi there,start_conversation
Is anyone there?,start_conversation
Hey,start_conversation
Hola,start_conversation
Hello,start_conversation
Good day,start_conversation
Hi,start_conversation
What is your name?,what_are_you
what are you?,what_are_you
who are you?,what_are_you
your name pls?,what_are_you
Bye,end_conversation
See you later,end_conversation
Goodbye,end_conversation
"Nice chatting to you, bye",end_conversation
Till next time,end_conversation
Thanks,thanks
Thank you,thanks
That's helpful,thanks
"Awesome, thanks",thanks
Thanks for helping me,thanks
How can you help me?,options
What can you do?,options
What help you provide?,options
How can you be helpful?,options
What support do you offered,options
What do you know?,options
what help?,options
What are you about?,options
What is this college known for?,college_information
tell me about this university?,college_information
what exactly can you tell me about this university?,college_information
What are the departments available at this collage?,departments
What are the departments available at this university?,departments
List the engineering departments available at this university,departments
Engineering departments?,departments
Give me the list of departments avaiable at this university,departments
Could you tell me about Computer Science in detail?,computer_science
Computer Science,computer_science
Please tell me about Computer Science,computer_science
Could you tell me about Information Technology in detail?,information_technology
Information Technology,information_technology
Please tell me about Information Technology,information_technology
Could you tell me about Electronics and Telecommunication in detail?,electronics_and_telecommunication
Electronics and Telecommunication,electronics_and_telecommunication
Please tell me about Electronics and Telecommunication,electronics_and_telecommunication
Could you tell me about Electronics in detail?,electronics
Electronics,electronics
Please tell me about Electronics,electronics
Could you tell me about Mechanical Engineering in detail?,mechanical
Mechanical Engineering,mechanical
Please tell me about Mechanical Engineering,mechanical
Could you tell me about Chemical Engineering in detail?,chemical
Chemical Engineering,chemical
Please tell me about Chemical Engineering,chemical
What is the intake capacity per branch?,intake_capacity
List the intake capacity per branch?,intake_capacity
How many students are taken in each year,intake_capacity
Give me the intake capacity for each branch?,intake_capacity
Could you tell me about Computer Science intake in detail?,computer_science
Computer Science,computer_science
Please tell me about Computer Science intake,computer_science
What are the hostel and mess facitlities in your university like?,hostels_and_mess
Give me some details about the hostel facilities,hostels_and_mess
hostel information,hostels_and_mess
Tell me about the hostel and mess facilities,hostels_and_mess
Give me information about the hostel facilities,hostels_and_mess
